Code,Name
AB,ALBERTA
AK,ALASKA
AL,ALABAMA
AR,ARKANSAS
AZ,ARIZONA
BC,BRITISH COLUMBIA
CA,CALIFORNIA
CO,COLORADO
CT,CONNECTICUT
DC,DISTRICT OF COLUMBIA
DE,DELAWARE
FL,FLORIDA
GA,GEORGIA
HE,HESSEN (GERMANY)
HI,HAWAII
IA,IOWA
ID,IDAHO
IL,ILLINOIS
IN,INDIANA
JA,JALISCO
KS,KANSAS
KY,KENTUCKY
LA,LOUISIANA
MA,MASSACHUSETTS
MB,MANITOBA
MD,MARYLAND
ME,MAINE
MI,MICHIGAN
MN,MINNESOTA
MO,MISSOURI
MS,MISSISSIPPI
MT,MONTANA
NB,NEW BRUNSWICK
NC,NORTH CAROLINA
ND,NORTH DAKOTA
NE,NEBRASKA
NH,NEW HAMPSHIRE
NJ,NEW JERSEY
NM,NEW MEXICO
NS,NOVA SCOTIA
NV,NEVADA
NY,NEW YORK
OH,OHIO
OK,OKLAHOMA
ON,ONTARIO
OR,OREGON
PA,PENNSYLVANIA
PR,PUERTO RICO
QC,QUEBEC
RI,RHODE ISLAND
SC,SOUTH CAROLINA
SD,SOUTH DAKOTA
SK,SASKATCHEWAN
TN,TENNESSEE
TX,TEXAS
UT,UTAH
VA,VIRGINIA
VT,VERMONT
WA,WASHINGTON
WI,WISCONSIN
WV,WEST VIRGINIA
WY,WYOMING
WZ,WARSZAWA
